Case,Emissions_energmix_fossil,Emissions_energymix_RE1,Emissions_energymix_RE2,Spec_Energy
Coal,0.827506984,0.821181692,0.8208531,3.86642875
Coal_CC_MEA,0.17446768,0.160534078,0.159810229,7.489646531
Coal_CC_Oxy,0.089813497,0.058613367,0.056992596,4.706417232
Coal_CC_CaL,0.153269783,0.138846493,0.138097277,7.148822883
NG,0.761611242,0.755543434,0.755228226,3.943228151
NG_CC_MEA,0.216506919,0.203983541,0.203332997,6.366835832
NG_CC_Oxy,0.126945717,0.10317512,0.101940271,4.770890718
NG_CC_CaL,0.185604776,0.172694272,0.172023566,6.745959315
BG,0.534547204,0.528479396,0.528164189,3.943228151
BG_CC_MEA,-0.157583347,-0.170124312,-0.170775787,6.380979362
BG_CC_Oxy,-0.077940882,-0.10670057,-0.108194618,4.593801147
BG_CC_CaL,-0.044723102,-0.057664671,-0.058336965,6.758046279
BM,0.679333237,0.673735624,0.67344484,4.226910798
BM_CC_MEA,-0.182482432,-0.196363602,-0.197084712,7.622444703
BM_CC_Oxy,-0.078705548,-0.106978122,-0.108446804,4.83484881
BM_CC_CaL,-0.026262868,-0.040289061,-0.041017676,7.6404187
MSW,0.753667146,0.748822923,0.748571275,4.742719419
MSW_CC_MEA,0.02837289,0.014754479,0.014047011,7.734903561
MSW_CC_Oxy,-0.121211026,-0.150458211,-0.151977516,5.883635425
MSW_CC_CaL,-0.040722154,-0.055047265,-0.05579144,8.585718252
H2,0.80259484,0.75752139,0.710554389,3.902919264
H2_CC_MEA,0.43262063,0.349422473,0.262752065,5.513198136
H2_CC_Oxy,0.245651761,0.184436767,0.140819765,4.462410497
H2_CC_CaL,0.30777195,0.256744534,0.209336693,6.310727174
Plasma,0.174996432,0.082802648,0.078013147,4.366262404
Hybrid,0.081788317,-0.001277365,-0.005592408,4.807181847
